0.10329,0.15708,0.25708
0.051534,0.15708,0.41416
0.19098,0.15708,0.57124
0.38075,0.15708,0.72832
0.24916,0.15708,0.8854
0.29931,0.15708,1.0425
0.47646,0.15708,1.1996
0.5259,0.15708,1.3566
0.45859,0.15708,1.5137
0.47982,0.15708,1.6708
0.25782,0.15708,1.8279
0.48078,0.15708,1.985
0.74157,0.15708,2.142
0.58778,0.15708,2.2991
0.7155,0.15708,2.4562
0.66245,0.15708,2.6133
0.49451,0.15708,2.7704
0.32781,0.15708,2.9274
0.55426,0.15708,3.0845
0.52734,0.15708,3.2416
0.61436,0.15708,3.3987
0.46899,0.15708,3.5558
0.48922,0.15708,3.7128
0.5796,0.15708,3.8699
0.4141,0.15708,4.027
0.63194,0.15708,4.1841
0.61329,0.15708,4.3412
0.47998,0.15708,4.4982
0.72404,0.15708,4.6553
0.67313,0.15708,4.8124
0.63376,0.15708,4.9695
0.70773,0.15708,5.1265
0.71967,0.15708,5.2836
0.71533,0.15708,5.4407
0.84631,0.15708,5.5978
0.883,0.15708,5.7549
0.84758,0.15708,5.9119
1.0418,0.15708,6.069
1.115,0.15708,6.2261
0.96353,0.15708,6.3832
0.96074,0.15708,6.5403
1.0568,0.15708,6.6973
1.1129,0.15708,6.8544
1.0336,0.15708,7.0115
1.2661,0.15708,7.1686
1.3529,0.15708,7.3257
1.2991,0.15708,7.4827
1.5522,0.15708,7.6398
1.3642,0.15708,7.7969
1.4205,0.15708,7.954
1.5359,0.15708,8.1111
1.5569,0.15708,8.2681
1.5786,0.15708,8.4252
1.5248,0.15708,8.5823
1.5929,0.15708,8.7394
1.4494,0.15708,8.8965
1.6981,0.15708,9.0535
1.5977,0.15708,9.2106
1.347,0.15708,9.3677
1.495,0.15708,9.5248
0.22581,0.31416,0.25708
0.36227,0.31416,0.41416
0.69481,0.31416,0.57124
0.45492,0.31416,0.72832
0.49666,0.31416,0.8854
0.62731,0.31416,1.0425
0.66869,0.31416,1.1996
0.78269,0.31416,1.3566
0.82954,0.31416,1.5137
0.71432,0.31416,1.6708
1.1441,0.31416,1.8279
1.0319,0.31416,1.985
1.0366,0.31416,2.142
0.89605,0.31416,2.2991
1.0343,0.31416,2.4562
1.1198,0.31416,2.6133
1.0389,0.31416,2.7704
0.84742,0.31416,2.9274
